latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.3,80.29999999999998,0.0056,LOW,25.8,6.2
26.3,81.04999999999994,0.12,LOW,25.7,1.4
26.3,81.49999999999991,0.9793,VERY HIGH,25.9,1.5
26.3,81.59999999999991,0.0074,LOW,25.8,3.2
26.3,81.7499999999999,0.1037,LOW,25.7,3.4
26.3,82.24999999999987,0.0621,LOW,25.7,1.2
26.3,82.44999999999986,0.0,LOW,25.8,1.2
26.3,82.79999999999984,0.0094,LOW,25.9,0.2
26.3,83.34999999999981,0.0026,LOW,26.7,0.3
26.3,84.14999999999976,0.0053,LOW,27.2,1.2
26.3,84.19999999999976,0.0133,LOW,27.4,0.3
26.3,84.24999999999976,0.0012,LOW,27.4,0.3
26.3,85.44999999999969,0.0739,LOW,27.3,0.0
26.3,85.84999999999967,0.0037,LOW,26.7,0.6
26.3,85.89999999999966,0.0097,LOW,26.8,0.6
26.3,85.94999999999966,0.0049,LOW,26.7,0.9
26.3,86.09999999999965,0.7318,VERY HIGH,26.7,0.5
26.3,86.19999999999965,0.0008,LOW,26.6,0.7
26.3,86.34999999999964,0.0003,LOW,26.6,0.8
26.3,86.44999999999963,0.0014,LOW,26.6,1.0
26.3,86.49999999999963,0.0009,LOW,26.6,1.0
26.3,86.59999999999962,0.0023,LOW,26.8,0.9
26.3,86.64999999999962,0.0005,LOW,26.8,0.9
26.3,86.84999999999961,0.0024,LOW,26.5,0.6
26.3,87.49999999999957,0.0061,LOW,26.1,2.0
26.3,87.64999999999957,0.1094,LOW,26.0,2.0
26.3,87.74999999999956,0.0114,LOW,25.9,1.4
26.35,80.24999999999999,0.621,HIGH,25.5,8.8
26.35,80.59999999999997,0.002,LOW,26.0,3.6
26.35,80.64999999999996,0.0491,LOW,25.9,3.6
26.35,80.89999999999995,0.0223,LOW,25.9,1.5
26.35,81.29999999999993,0.0017,LOW,25.9,2.1
26.35,81.34999999999992,0.0013,LOW,25.9,2.1
26.35,81.49999999999991,0.0716,LOW,25.9,1.5
26.35,81.89999999999989,0.5676,HIGH,25.7,1.9
26.35,82.14999999999988,0.0002,LOW,25.7,1.9
26.35,84.14999999999976,0.0006,LOW,27.1,1.5
26.35,85.44999999999969,0.9629,VERY HIGH,27.1,0.3
26.35,85.49999999999969,0.0068,LOW,27.1,0.3
26.35,85.54999999999968,0.0065,LOW,27.1,0.3
26.35,85.94999999999966,0.0003,LOW,26.7,0.5
26.35,85.99999999999966,0.0002,LOW,26.7,0.5
26.35,86.14999999999965,0.0574,LOW,26.7,1.0
26.35,86.19999999999965,0.0017,LOW,26.6,0.6
26.35,86.24999999999964,0.0037,LOW,26.6,0.6
26.35,86.59999999999962,0.0056,LOW,26.5,0.9
26.35,86.79999999999961,0.0195,LOW,26.6,0.9
26.35,87.44999999999958,0.1187,LOW,26.0,2.2
26.35,87.49999999999957,0.0258,LOW,25.9,2.2
26.35,88.04999999999954,0.6954,HIGH,25.6,1.3
26.35,88.09999999999954,0.0007,LOW,25.6,1.5
26.4,80.05,0.0069,LOW,25.0,7.7
26.4,80.59999999999997,0.0004,LOW,26.0,3.6
26.4,81.29999999999993,0.0013,LOW,25.9,2.1
26.4,81.44999999999992,0.0024,LOW,25.9,1.5
26.4,81.8499999999999,0.005,LOW,25.8,1.9
26.4,81.94999999999989,0.0009,LOW,25.7,1.9
26.4,82.09999999999988,0.0003,LOW,25.7,1.9
26.4,82.29999999999987,0.0039,LOW,25.6,1.8
26.4,82.34999999999987,0.0019,LOW,25.6,1.2
26.4,82.44999999999986,0.0021,LOW,25.7,1.1
26.4,82.54999999999986,0.0024,LOW,25.7,1.1
26.4,83.34999999999981,0.0001,LOW,26.3,1.6
26.4,84.14999999999976,0.0526,LOW,27.1,1.5
26.4,84.29999999999976,0.0035,LOW,27.3,0.6
26.4,84.49999999999974,0.9058,VERY HIGH,27.6,0.3
26.4,84.89999999999972,0.8553,VERY HIGH,28.0,0.0
26.4,85.44999999999969,0.0216,LOW,27.1,0.3
26.4,85.59999999999968,0.0366,LOW,26.7,0.9
26.4,85.74999999999967,0.0055,LOW,26.8,0.6
26.4,85.99999999999966,0.0059,LOW,26.7,0.5
26.4,86.14999999999965,0.0022,LOW,26.7,1.0
26.4,87.39999999999958,0.3836,MEDIUM,26.0,1.2
26.4,87.79999999999956,0.949,VERY HIGH,25.7,2.6
26.450000000000003,80.19999999999999,0.0004,LOW,24.9,6.1
26.450000000000003,80.39999999999998,0.0001,LOW,25.4,4.1
26.450000000000003,80.69999999999996,0.9663,VERY HIGH,25.6,2.1
26.450000000000003,81.29999999999993,0.8555,VERY HIGH,25.9,2.7
26.450000000000003,81.99999999999989,0.0008,LOW,25.7,1.7
26.450000000000003,82.39999999999986,0.0071,LOW,25.6,1.2
26.450000000000003,82.94999999999983,0.0101,LOW,25.9,1.2
26.450000000000003,83.24999999999982,0.111,LOW,26.1,1.5
26.450000000000003,83.84999999999978,0.0114,LOW,26.6,1.8
26.450000000000003,84.14999999999976,0.0031,LOW,27.2,0.6
26.450000000000003,84.34999999999975,0.0018,LOW,27.3,1.5
26.450000000000003,85.59999999999968,0.8287,VERY HIGH,26.7,1.2
26.450000000000003,85.99999999999966,0.1185,LOW,26.6,0.9
26.450000000000003,86.04999999999966,0.0164,LOW,26.6,0.9
26.450000000000003,86.09999999999965,0.0126,LOW,26.4,0.9
26.450000000000003,86.29999999999964,0.0009,LOW,26.3,0.9
26.450000000000003,86.34999999999964,0.0007,LOW,26.4,1.2
26.450000000000003,86.84999999999961,0.0006,LOW,26.2,0.9
26.450000000000003,87.34999999999958,0.1257,LOW,26.1,1.2
26.500000000000004,80.29999999999998,0.0031,LOW,24.9,6.1
26.500000000000004,80.69999999999996,0.0003,LOW,25.6,2.1
26.500000000000004,81.44999999999992,0.0066,LOW,25.9,2.6
26.500000000000004,82.39999999999986,0.0169,LOW,25.6,1.2
26.500000000000004,82.84999999999984,0.0011,LOW,26.0,1.3
26.500000000000004,83.19999999999982,0.0035,LOW,26.1,1.5
26.500000000000004,83.29999999999981,0.0024,LOW,26.1,1.5
26.500000000000004,83.34999999999981,0.013,LOW,26.2,1.2
26.500000000000004,84.14999999999976,0.0057,LOW,27.1,0.6
26.500000000000004,85.04999999999971,0.0083,LOW,27.6,0.3
26.500000000000004,85.2499999999997,0.0058,LOW,27.1,1.5
26.500000000000004,85.2999999999997,0.015,LOW,27.1,1.5
26.500000000000004,85.64999999999968,0.0041,LOW,26.8,1.2
26.500000000000004,85.94999999999966,0.0006,LOW,26.6,0.9
26.500000000000004,86.09999999999965,0.0274,LOW,26.4,0.9
