latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.35,88.04999999999954,0.6789,HIGH,26.7,0.0
26.500000000000004,86.74999999999962,0.0001,LOW,27.3,0.0
26.550000000000004,85.54999999999968,0.0037,LOW,28.2,0.0
26.600000000000005,84.44999999999975,0.0006,LOW,30.1,0.0
26.600000000000005,87.19999999999959,0.0107,LOW,27.2,0.0
26.65000000000001,86.64999999999962,0.0,LOW,26.8,0.0
26.700000000000006,84.39999999999975,0.0298,LOW,30.1,0.0
26.700000000000006,86.09999999999965,0.0006,LOW,27.7,0.0
26.700000000000006,87.54999999999957,0.004,LOW,27.0,0.0
26.750000000000007,85.64999999999968,0.0018,LOW,27.8,0.0
26.750000000000007,86.9999999999996,0.0003,LOW,26.9,0.0
26.750000000000007,87.99999999999955,0.0008,LOW,28.4,0.0
26.90000000000001,87.19999999999959,0.0028,LOW,24.1,0.0
26.90000000000001,87.99999999999955,0.0112,LOW,23.8,1.0
26.95000000000001,84.94999999999972,0.0041,LOW,28.0,0.0
26.95000000000001,86.59999999999962,0.0689,LOW,22.2,0.0
26.95000000000001,87.34999999999958,0.0651,LOW,20.9,1.4
26.95000000000001,88.09999999999954,0.0756,LOW,14.3,11.9
27.00000000000001,85.69999999999968,0.0039,LOW,26.7,0.0
27.00000000000001,86.59999999999962,0.0003,LOW,16.8,0.0
27.00000000000001,87.44999999999958,0.0071,LOW,22.2,1.4
27.00000000000001,88.14999999999954,0.0588,LOW,15.2,11.9
27.05000000000001,85.3999999999997,0.9526,VERY HIGH,27.1,0.0
27.05000000000001,86.39999999999964,0.0143,LOW,25.7,0.0
27.05000000000001,87.0999999999996,0.0784,LOW,24.1,0.0
27.150000000000013,86.9499999999996,0.0297,LOW,16.3,2.8
27.150000000000013,87.79999999999956,0.0681,LOW,20.5,2.2
27.200000000000014,83.29999999999981,0.8976,VERY HIGH,29.4,0.0
27.200000000000014,85.44999999999969,0.0054,LOW,25.3,0.0
27.200000000000014,86.29999999999964,0.0357,LOW,21.5,0.3
27.200000000000014,87.0499999999996,0.065,LOW,14.1,5.2
27.200000000000014,87.79999999999956,0.0001,LOW,21.6,1.6
27.25000000000001,83.4499999999998,0.0046,LOW,29.0,0.0
27.25000000000001,85.14999999999971,0.0482,LOW,26.8,0.0
27.25000000000001,85.99999999999966,0.0981,LOW,20.6,0.0
27.25000000000001,86.79999999999961,0.0002,LOW,20.3,0.6
27.25000000000001,87.49999999999957,0.0539,LOW,18.1,2.7
27.350000000000016,85.14999999999971,0.0614,LOW,25.5,0.0
27.350000000000016,85.94999999999966,0.0363,LOW,24.9,0.6
27.350000000000016,86.64999999999962,0.0135,LOW,19.1,2.6
27.350000000000016,87.34999999999958,0.0007,LOW,20.5,7.7
27.350000000000016,88.04999999999954,0.0056,LOW,12.8,7.4
27.400000000000016,84.19999999999976,0.0271,LOW,28.8,0.0
27.400000000000016,84.89999999999972,0.0049,LOW,26.0,0.0
27.400000000000016,85.74999999999967,0.05,LOW,19.1,1.8
27.400000000000016,86.49999999999963,0.0023,LOW,17.7,1.2
27.400000000000016,87.24999999999959,0.202,LOW,24.6,3.9
27.400000000000016,87.94999999999955,0.5065,HIGH,15.0,7.4
27.450000000000017,84.24999999999976,0.0231,LOW,26.4,0.0
27.450000000000017,88.04999999999954,0.021,LOW,10.0,29.5
27.500000000000018,84.49999999999974,0.0332,LOW,26.6,0.0
27.500000000000018,85.2499999999997,0.0055,LOW,26.1,0.0
27.500000000000018,85.99999999999966,0.023,LOW,22.0,0.3
27.55000000000002,85.1999999999997,0.1583,LOW,20.3,0.0
27.55000000000002,86.04999999999966,0.0189,LOW,20.6,0.3
27.55000000000002,86.79999999999961,0.1131,LOW,13.9,1.2
27.55000000000002,87.49999999999957,0.0018,LOW,10.7,13.8
27.60000000000002,82.69999999999985,0.0006,LOW,28.9,0.0
27.60000000000002,84.24999999999976,0.0057,LOW,28.7,0.0
27.60000000000002,85.2999999999997,0.0308,LOW,20.8,0.0
27.60000000000002,86.09999999999965,0.8012,VERY HIGH,18.2,0.2
27.60000000000002,86.79999999999961,0.0118,LOW,8.2,1.3
27.60000000000002,87.64999999999957,0.0587,LOW,10.1,41.9
27.65000000000002,82.59999999999985,0.0177,LOW,28.6,0.0
27.65000000000002,83.74999999999979,0.0327,LOW,23.9,0.0
27.65000000000002,85.79999999999967,0.5445,HIGH,17.7,0.0
27.70000000000002,82.54999999999986,0.0066,LOW,27.3,0.0
27.70000000000002,85.09999999999971,0.0596,LOW,17.9,0.1
27.70000000000002,85.99999999999966,0.0319,LOW,17.0,0.2
27.75000000000002,83.5499999999998,0.0118,LOW,24.7,0.0
27.75000000000002,84.29999999999976,0.0009,LOW,26.8,0.0
27.75000000000002,85.04999999999971,0.0008,LOW,22.8,0.0
27.75000000000002,85.99999999999966,0.0343,LOW,17.1,0.1
27.75000000000002,87.34999999999958,0.046,LOW,9.8,6.5
27.800000000000026,82.29999999999987,0.0121,LOW,25.0,0.0
27.800000000000026,83.09999999999982,0.0959,LOW,23.7,0.0
27.800000000000026,83.84999999999978,0.0384,LOW,24.6,0.0
27.800000000000026,84.54999999999974,0.0047,LOW,27.7,0.0
27.800000000000026,85.2999999999997,0.0531,LOW,18.7,0.0
27.800000000000026,85.99999999999966,0.0168,LOW,18.6,0.1
27.800000000000026,87.44999999999958,0.0001,LOW,7.4,6.5
27.850000000000023,84.04999999999977,0.0076,LOW,26.0,0.0
27.850000000000023,84.84999999999972,0.024,LOW,25.6,0.0
27.900000000000023,81.99999999999989,0.006,LOW,27.7,0.0
27.900000000000023,83.3999999999998,0.0431,LOW,25.3,0.0
27.900000000000023,84.94999999999972,0.0487,LOW,22.9,0.1
27.950000000000024,81.89999999999989,0.0367,LOW,28.5,0.0
27.950000000000024,82.59999999999985,0.0989,LOW,27.0,0.0
27.950000000000024,83.3999999999998,0.0312,LOW,23.1,0.0
27.950000000000024,84.24999999999976,0.1105,LOW,25.7,0.9
27.950000000000024,85.2999999999997,0.6535,HIGH,25.9,0.0
27.950000000000024,85.99999999999966,0.0334,LOW,13.4,1.5
