latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.35,88.04999999999954,0.6461,HIGH,26.0,7.6
26.500000000000004,86.74999999999962,0.0,LOW,25.5,9.8
26.550000000000004,85.54999999999968,0.005,LOW,26.8,0.4
26.600000000000005,84.44999999999975,0.0005,LOW,28.4,0.0
26.600000000000005,87.19999999999959,0.0131,LOW,25.8,5.6
26.65000000000001,86.64999999999962,0.0,LOW,24.8,6.6
26.700000000000006,84.39999999999975,0.0272,LOW,28.2,0.1
26.700000000000006,86.09999999999965,0.0005,LOW,26.0,3.2
26.700000000000006,87.54999999999957,0.0028,LOW,26.3,3.1
26.750000000000007,85.64999999999968,0.0015,LOW,26.4,1.8
26.90000000000001,83.4499999999998,0.0047,LOW,28.2,0.0
26.90000000000001,86.44999999999963,0.0372,LOW,23.0,1.1
26.90000000000001,87.19999999999959,0.0022,LOW,23.1,2.8
26.90000000000001,87.99999999999955,0.0085,LOW,23.1,3.2
26.95000000000001,84.94999999999972,0.0037,LOW,26.7,0.0
26.95000000000001,86.59999999999962,0.0863,LOW,20.2,2.4
26.95000000000001,87.34999999999958,0.0525,LOW,19.8,1.8
26.95000000000001,88.09999999999954,0.0715,LOW,12.9,5.9
27.00000000000001,85.69999999999968,0.0035,LOW,25.1,0.4
27.00000000000001,86.59999999999962,0.0005,LOW,14.8,2.4
27.10000000000001,86.49999999999963,0.003,LOW,21.4,1.1
27.10000000000001,87.44999999999958,0.1061,LOW,18.3,5.0
27.10000000000001,88.14999999999954,0.0262,LOW,11.4,3.0
27.150000000000013,85.3499999999997,0.0,LOW,25.8,0.1
27.150000000000013,86.09999999999965,0.0399,LOW,23.7,0.1
27.150000000000013,86.9499999999996,0.0318,LOW,14.7,7.8
27.150000000000013,87.79999999999956,0.0481,LOW,19.0,3.5
27.200000000000014,83.29999999999981,0.8969,VERY HIGH,27.6,0.0
27.200000000000014,85.44999999999969,0.006,LOW,24.0,0.1
27.200000000000014,86.29999999999964,0.0256,LOW,19.7,0.6
27.200000000000014,87.0499999999996,0.0705,LOW,12.6,6.5
27.30000000000001,85.3999999999997,0.0132,LOW,25.1,0.3
27.30000000000001,86.14999999999965,0.0001,LOW,19.6,1.5
27.30000000000001,86.89999999999961,0.8645,VERY HIGH,18.9,6.1
27.30000000000001,87.64999999999957,0.0543,LOW,13.7,3.7
27.350000000000016,86.64999999999962,0.0179,LOW,17.4,12.6
27.350000000000016,87.34999999999958,0.0008,LOW,19.3,1.6
27.350000000000016,88.04999999999954,0.0053,LOW,11.3,3.9
27.400000000000016,84.19999999999976,0.0341,LOW,26.9,0.0
27.400000000000016,84.89999999999972,0.0046,LOW,24.2,0.0
27.400000000000016,85.74999999999967,0.0544,LOW,17.2,1.9
27.400000000000016,86.49999999999963,0.0008,LOW,15.6,7.7
27.400000000000016,87.24999999999959,0.1902,LOW,23.5,16.1
27.400000000000016,87.94999999999955,0.4892,MEDIUM,13.5,3.9
27.450000000000017,84.24999999999976,0.0197,LOW,24.1,0.0
27.450000000000017,86.64999999999962,0.0673,LOW,5.1,4.5
27.450000000000017,87.34999999999958,0.2397,LOW,20.0,16.1
27.500000000000018,85.2499999999997,0.0056,LOW,24.2,0.3
27.500000000000018,85.99999999999966,0.0228,LOW,19.9,5.2
27.500000000000018,86.69999999999962,0.0009,LOW,15.6,6.9
27.55000000000002,86.04999999999966,0.0353,LOW,18.5,5.2
27.55000000000002,86.79999999999961,0.1012,LOW,12.3,13.2
27.55000000000002,87.49999999999957,0.0018,LOW,9.3,2.4
27.60000000000002,82.69999999999985,0.0006,LOW,27.1,0.0
27.60000000000002,84.24999999999976,0.005,LOW,26.2,0.0
27.60000000000002,85.2999999999997,0.0222,LOW,18.5,8.4
27.60000000000002,86.09999999999965,0.6816,HIGH,16.0,8.6
27.60000000000002,86.79999999999961,0.0142,LOW,6.1,5.5
27.60000000000002,87.64999999999957,0.0695,LOW,8.5,15.6
27.65000000000002,86.49999999999963,0.0,LOW,6.5,14.9
27.65000000000002,87.39999999999958,0.0003,LOW,3.8,27.9
27.70000000000002,82.54999999999986,0.0047,LOW,25.0,0.0
27.70000000000002,83.29999999999981,0.0012,LOW,26.2,0.1
27.75000000000002,81.94999999999989,0.0021,LOW,26.0,0.0
27.75000000000002,82.84999999999984,0.0191,LOW,23.3,0.0
27.75000000000002,83.5499999999998,0.0125,LOW,22.1,0.2
27.75000000000002,84.29999999999976,0.0008,LOW,24.4,0.4
27.75000000000002,85.04999999999971,0.0011,LOW,20.6,4.9
27.75000000000002,85.99999999999966,0.0321,LOW,14.9,4.9
27.75000000000002,87.34999999999958,0.0394,LOW,7.9,27.9
27.800000000000026,82.29999999999987,0.0143,LOW,23.0,0.0
27.800000000000026,83.09999999999982,0.0892,LOW,21.2,0.1
27.800000000000026,83.84999999999978,0.0578,LOW,22.5,0.3
27.850000000000023,82.24999999999987,0.0454,LOW,23.8,0.0
27.850000000000023,83.34999999999981,0.0309,LOW,18.2,0.2
27.850000000000023,84.04999999999977,0.0065,LOW,23.8,0.2
27.850000000000023,84.84999999999972,0.0222,LOW,23.5,1.1
27.900000000000023,83.3999999999998,0.0567,LOW,22.9,0.2
27.900000000000023,84.14999999999976,0.0307,LOW,23.4,0.2
27.900000000000023,84.94999999999972,0.043,LOW,20.6,1.0
27.900000000000023,85.74999999999967,0.0001,LOW,19.4,6.3
27.900000000000023,87.19999999999959,0.0862,LOW,-10.1,10.4
27.950000000000024,81.89999999999989,0.037,LOW,25.6,0.0
27.950000000000024,82.59999999999985,0.0908,LOW,24.3,0.0
27.950000000000024,83.3999999999998,0.0229,LOW,20.8,0.1
