latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.3,80.29999999999998,0.0044,LOW,27.0,1.8
26.3,81.04999999999994,0.1201,LOW,26.9,0.3
26.3,81.49999999999991,0.979,VERY HIGH,26.9,0.1
26.3,81.59999999999991,0.0064,LOW,27.0,0.6
26.3,81.7499999999999,0.1088,LOW,27.0,0.5
26.3,82.24999999999987,0.0709,LOW,27.4,0.1
26.3,82.44999999999986,0.0,LOW,27.6,0.6
26.3,82.79999999999984,0.0085,LOW,27.9,1.3
26.3,83.34999999999981,0.0033,LOW,28.5,1.5
26.3,84.14999999999976,0.0052,LOW,29.1,0.9
26.3,84.19999999999976,0.0151,LOW,29.3,0.6
26.3,85.3999999999997,0.0267,LOW,28.4,0.7
26.3,85.44999999999969,0.0787,LOW,28.4,0.7
26.3,85.84999999999967,0.0036,LOW,27.3,0.8
26.3,85.89999999999966,0.0104,LOW,27.4,0.8
26.3,85.94999999999966,0.0048,LOW,27.4,0.6
26.3,86.09999999999965,0.7397,VERY HIGH,27.2,0.9
26.3,86.19999999999965,0.0009,LOW,27.2,0.6
26.3,86.34999999999964,0.0003,LOW,27.3,0.6
26.3,86.44999999999963,0.0014,LOW,27.4,0.6
26.3,86.49999999999963,0.0009,LOW,27.4,0.6
26.3,86.59999999999962,0.0023,LOW,27.5,0.6
26.3,87.39999999999958,0.0297,LOW,27.1,0.6
26.3,87.44999999999958,0.9726,VERY HIGH,27.0,1.2
26.3,87.49999999999957,0.0057,LOW,27.0,1.2
26.3,87.64999999999957,0.1026,LOW,26.9,2.7
26.3,87.74999999999956,0.0112,LOW,26.7,3.3
26.35,80.24999999999999,0.6142,HIGH,26.7,0.5
26.35,80.59999999999997,0.0016,LOW,27.2,0.9
26.35,80.64999999999996,0.0527,LOW,27.1,0.9
26.35,80.89999999999995,0.0223,LOW,27.1,0.3
26.35,81.29999999999993,0.0017,LOW,27.0,0.4
26.35,81.34999999999992,0.0013,LOW,27.0,0.4
26.35,84.89999999999972,0.0299,LOW,29.6,0.8
