latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.35,88.04999999999954,0.6723,HIGH,26.8,3.0
26.500000000000004,86.74999999999962,0.0001,LOW,27.9,0.0
26.550000000000004,85.54999999999968,0.0041,LOW,28.9,0.0
26.600000000000005,84.44999999999975,0.0006,LOW,30.9,0.0
26.600000000000005,87.19999999999959,0.0132,LOW,27.5,2.4
26.65000000000001,86.64999999999962,0.0,LOW,27.7,0.6
26.700000000000006,84.39999999999975,0.0284,LOW,30.7,0.0
26.700000000000006,86.09999999999965,0.0007,LOW,28.4,0.0
26.700000000000006,87.54999999999957,0.0034,LOW,27.1,2.4
26.750000000000007,85.64999999999968,0.0018,LOW,28.6,0.0
26.750000000000007,86.9999999999996,0.0004,LOW,27.8,0.6
26.750000000000007,87.99999999999955,0.0007,LOW,28.6,1.5
26.800000000000008,85.84999999999967,0.0036,LOW,28.3,0.0
26.90000000000001,87.99999999999955,0.0129,LOW,23.8,7.2
26.95000000000001,84.94999999999972,0.0054,LOW,28.5,7.5
26.95000000000001,86.59999999999962,0.0882,LOW,22.3,6.8
26.95000000000001,87.34999999999958,0.0487,LOW,20.7,26.8
26.95000000000001,88.09999999999954,0.0881,LOW,14.8,15.6
27.00000000000001,85.69999999999968,0.004,LOW,27.9,0.0
27.00000000000001,86.59999999999962,0.0004,LOW,16.9,6.8
27.00000000000001,87.44999999999958,0.0111,LOW,22.0,26.8
27.00000000000001,88.14999999999954,0.068,LOW,15.6,15.6
27.05000000000001,85.3999999999997,0.9575,VERY HIGH,28.1,0.6
27.05000000000001,86.39999999999964,0.0215,LOW,26.0,3.0
27.05000000000001,87.0999999999996,0.0626,LOW,24.0,4.8
27.05000000000001,87.84999999999955,0.0924,LOW,14.9,6.8
27.10000000000001,84.54999999999974,0.0019,LOW,29.4,0.0
27.200000000000014,83.29999999999981,0.9014,VERY HIGH,30.3,0.0
27.200000000000014,85.44999999999969,0.0059,LOW,25.5,5.1
27.200000000000014,86.29999999999964,0.0375,LOW,21.4,4.8
27.200000000000014,87.0499999999996,0.0684,LOW,14.4,15.0
27.200000000000014,87.79999999999956,0.0002,LOW,21.4,12.6
27.25000000000001,83.4499999999998,0.0045,LOW,30.0,0.0
27.25000000000001,85.14999999999971,0.0657,LOW,27.2,4.2
27.25000000000001,85.99999999999966,0.1219,LOW,20.6,2.7
27.25000000000001,86.79999999999961,0.0003,LOW,20.5,4.8
27.25000000000001,87.49999999999957,0.0577,LOW,17.8,11.3
27.25000000000001,88.19999999999953,0.4784,MEDIUM,10.3,0.6
27.30000000000001,84.44999999999975,0.0,LOW,28.7,1.5
27.30000000000001,85.3999999999997,0.0185,LOW,26.6,5.7
27.30000000000001,86.14999999999965,0.0001,LOW,21.3,10.9
27.30000000000001,86.89999999999961,0.8301,VERY HIGH,20.9,4.8
27.30000000000001,87.64999999999957,0.0438,LOW,15.9,1.3
27.350000000000016,84.44999999999975,0.0797,LOW,28.8,5.4
27.350000000000016,85.14999999999971,0.0599,LOW,26.0,4.8
27.400000000000016,85.74999999999967,0.0649,LOW,19.2,12.7
27.400000000000016,87.24999999999959,0.1882,LOW,24.4,23.9
27.450000000000017,84.24999999999976,0.0369,LOW,26.4,7.2
27.450000000000017,85.09999999999971,0.0108,LOW,24.3,7.9
27.450000000000017,85.94999999999966,0.0048,LOW,20.4,10.4
27.500000000000018,83.5999999999998,0.0013,LOW,29.8,0.0
27.500000000000018,84.49999999999974,0.0583,LOW,27.2,5.4
27.500000000000018,85.2499999999997,0.0052,LOW,26.3,10.7
27.500000000000018,85.99999999999966,0.0354,LOW,22.2,10.4
27.500000000000018,86.69999999999962,0.0008,LOW,17.9,4.7
27.500000000000018,87.39999999999958,0.0,LOW,18.6,34.3
27.55000000000002,82.24999999999987,0.0019,LOW,30.6,0.0
27.55000000000002,84.44999999999975,0.003,LOW,29.0,5.4
27.55000000000002,85.1999999999997,0.2155,LOW,20.5,10.7
27.55000000000002,86.04999999999966,0.036,LOW,20.9,10.4
27.55000000000002,86.79999999999961,0.1092,LOW,14.2,9.2
27.55000000000002,87.49999999999957,0.0025,LOW,11.2,2.5
27.60000000000002,82.69999999999985,0.0007,LOW,30.0,0.0
27.60000000000002,84.24999999999976,0.0063,LOW,28.9,3.6
27.65000000000002,82.59999999999985,0.0189,LOW,29.7,0.0
27.65000000000002,83.74999999999979,0.0545,LOW,23.8,15.6
27.65000000000002,84.74999999999973,0.0071,LOW,29.1,6.6
27.70000000000002,83.29999999999981,0.0016,LOW,29.4,0.0
27.70000000000002,84.04999999999977,0.0545,LOW,28.0,2.7
27.70000000000002,85.09999999999971,0.053,LOW,18.3,7.6
27.70000000000002,85.99999999999966,0.0346,LOW,17.4,11.1
27.70000000000002,87.0499999999996,0.0,LOW,5.3,10.7
27.75000000000002,81.94999999999989,0.0023,LOW,30.2,0.0
27.75000000000002,82.84999999999984,0.0202,LOW,26.2,0.0
27.75000000000002,83.5499999999998,0.0164,LOW,24.9,1.8
27.75000000000002,84.29999999999976,0.0008,LOW,26.8,12.6
27.75000000000002,85.04999999999971,0.0009,LOW,23.1,5.4
27.75000000000002,85.99999999999966,0.0477,LOW,17.6,7.4
27.75000000000002,87.34999999999958,0.0408,LOW,11.1,5.1
27.800000000000026,82.29999999999987,0.0137,LOW,26.1,0.0
27.800000000000026,85.99999999999966,0.0195,LOW,19.1,7.4
27.850000000000023,83.34999999999981,0.0323,LOW,20.8,0.9
27.850000000000023,84.04999999999977,0.0046,LOW,26.1,16.7
27.900000000000023,81.99999999999989,0.0064,LOW,28.4,0.0
27.900000000000023,82.69999999999985,0.0797,LOW,25.3,0.0
27.900000000000023,83.3999999999998,0.0407,LOW,25.6,0.9
27.900000000000023,84.14999999999976,0.0334,LOW,26.0,15.3
27.900000000000023,84.94999999999972,0.0687,LOW,23.2,2.2
27.900000000000023,85.74999999999967,0.0001,LOW,22.3,3.9
27.900000000000023,87.19999999999959,0.0914,LOW,-8.5,0.0
27.950000000000024,81.89999999999989,0.0346,LOW,29.5,0.0
27.950000000000024,82.59999999999985,0.0789,LOW,28.2,0.0
27.950000000000024,83.3999999999998,0.0454,LOW,23.1,6.3
27.950000000000024,84.24999999999976,0.0853,LOW,26.0,7.6
27.950000000000024,85.2999999999997,0.6648,HIGH,26.4,1.2
27.950000000000024,85.99999999999966,0.0418,LOW,14.0,5.0
28.000000000000025,81.34999999999992,0.0016,LOW,30.1,0.0
28.000000000000025,83.19999999999982,0.0814,LOW,21.5,1.5
28.000000000000025,83.89999999999978,0.0266,LOW,24.1,16.0
28.000000000000025,86.39999999999964,0.0019,LOW,-1.8,1.4
28.050000000000026,83.4499999999998,0.0007,LOW,21.0,9.8
28.050000000000026,84.19999999999976,0.0187,LOW,24.2,7.6
28.050000000000026,84.99999999999972,0.0001,LOW,25.5,2.2
28.100000000000023,84.14999999999976,0.2977,LOW,21.8,1.6
