latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.35,88.04999999999954,0.6465,HIGH,28.0,14.3
26.500000000000004,86.74999999999962,0.0,LOW,28.8,5.5
26.550000000000004,85.54999999999968,0.0053,LOW,29.5,6.9
26.600000000000005,84.44999999999975,0.0007,LOW,31.4,1.8
26.600000000000005,87.19999999999959,0.0157,LOW,28.4,18.6
26.65000000000001,86.64999999999962,0.0,LOW,28.4,5.2
26.700000000000006,84.39999999999975,0.0299,LOW,30.9,1.5
26.700000000000006,86.09999999999965,0.0005,LOW,29.1,8.1
26.700000000000006,87.54999999999957,0.003,LOW,28.2,25.3
26.750000000000007,85.64999999999968,0.0015,LOW,29.2,11.7
26.750000000000007,86.9999999999996,0.0003,LOW,28.4,6.7
26.750000000000007,87.99999999999955,0.0006,LOW,29.6,25.7
26.800000000000008,85.84999999999967,0.0025,LOW,29.1,4.5
26.90000000000001,87.99999999999955,0.0104,LOW,25.3,24.9
26.95000000000001,84.94999999999972,0.005,LOW,29.4,7.8
26.95000000000001,86.59999999999962,0.085,LOW,23.3,7.8
26.95000000000001,87.34999999999958,0.0471,LOW,22.1,24.5
26.95000000000001,88.09999999999954,0.0773,LOW,16.2,18.1
27.00000000000001,85.69999999999968,0.0044,LOW,28.7,3.0
27.00000000000001,86.59999999999962,0.0006,LOW,17.9,7.8
27.00000000000001,87.44999999999958,0.0081,LOW,23.4,24.5
27.00000000000001,88.14999999999954,0.0636,LOW,17.1,18.1
27.05000000000001,85.3999999999997,0.9412,VERY HIGH,29.0,1.7
27.05000000000001,86.39999999999964,0.02,LOW,27.1,2.1
27.05000000000001,87.0999999999996,0.07,LOW,25.3,16.9
27.05000000000001,87.84999999999955,0.0934,LOW,15.8,17.9
27.10000000000001,84.54999999999974,0.0016,LOW,29.8,1.5
27.200000000000014,83.29999999999981,0.9098,VERY HIGH,31.1,1.2
27.200000000000014,85.44999999999969,0.0053,LOW,26.6,9.0
27.200000000000014,86.29999999999964,0.0382,LOW,22.5,10.7
27.200000000000014,87.0499999999996,0.0663,LOW,15.6,17.5
27.200000000000014,87.79999999999956,0.0001,LOW,22.2,16.3
27.25000000000001,83.4499999999998,0.0036,LOW,30.6,0.9
27.25000000000001,85.14999999999971,0.0576,LOW,28.1,5.3
27.25000000000001,85.99999999999966,0.1474,LOW,21.7,10.3
27.25000000000001,86.79999999999961,0.0003,LOW,21.4,8.8
27.25000000000001,87.49999999999957,0.0566,LOW,19.1,6.6
27.25000000000001,88.19999999999953,0.3813,MEDIUM,11.3,5.5
27.30000000000001,84.44999999999975,0.0,LOW,29.5,4.2
27.30000000000001,85.3999999999997,0.0154,LOW,27.9,6.0
27.30000000000001,86.14999999999965,0.0001,LOW,22.4,14.0
27.30000000000001,86.89999999999961,0.8972,VERY HIGH,21.8,8.8
27.350000000000016,84.44999999999975,0.0912,LOW,29.8,3.2
27.350000000000016,85.14999999999971,0.0531,LOW,27.1,4.9
27.400000000000016,84.19999999999976,0.0366,LOW,30.2,2.7
27.400000000000016,86.49999999999963,0.0012,LOW,18.8,16.0
27.400000000000016,87.24999999999959,0.1716,LOW,25.4,13.2
27.400000000000016,87.94999999999955,0.5361,HIGH,16.4,11.7
27.450000000000017,84.24999999999976,0.04,LOW,27.2,10.3
27.450000000000017,85.09999999999971,0.0091,LOW,25.4,11.6
27.450000000000017,85.94999999999966,0.005,LOW,21.1,19.1
27.450000000000017,86.64999999999962,0.0593,LOW,8.4,18.5
27.450000000000017,87.34999999999958,0.2269,LOW,21.9,13.2
27.450000000000017,88.04999999999954,0.0205,LOW,11.7,29.7
27.500000000000018,83.5999999999998,0.0015,LOW,30.3,3.6
27.500000000000018,84.49999999999974,0.0504,LOW,27.8,13.4
27.500000000000018,85.2499999999997,0.0046,LOW,27.5,13.8
27.500000000000018,85.99999999999966,0.0448,LOW,22.9,19.1
27.500000000000018,86.69999999999962,0.0008,LOW,18.8,18.1
27.55000000000002,84.44999999999975,0.0019,LOW,29.6,13.4
27.55000000000002,85.1999999999997,0.2047,LOW,21.7,13.8
27.55000000000002,86.04999999999966,0.0358,LOW,21.5,19.1
27.60000000000002,85.2999999999997,0.0365,LOW,21.7,24.9
27.60000000000002,86.09999999999965,0.7031,VERY HIGH,19.2,29.3
27.65000000000002,82.59999999999985,0.0209,LOW,30.4,1.8
27.65000000000002,83.74999999999979,0.0655,LOW,24.8,12.7
27.65000000000002,84.74999999999973,0.0044,LOW,29.6,19.2
27.65000000000002,85.79999999999967,0.7462,VERY HIGH,19.1,14.1
27.65000000000002,86.49999999999963,0.0,LOW,9.8,24.4
27.65000000000002,87.39999999999958,0.0003,LOW,7.6,21.6
27.70000000000002,82.54999999999986,0.0045,LOW,29.3,5.1
27.70000000000002,83.29999999999981,0.0015,LOW,30.1,0.8
27.70000000000002,84.04999999999977,0.0557,LOW,28.5,3.0
27.70000000000002,85.09999999999971,0.044,LOW,19.1,36.3
27.70000000000002,85.99999999999966,0.0328,LOW,18.0,29.3
27.70000000000002,87.0499999999996,0.0,LOW,5.8,24.7
27.75000000000002,81.94999999999989,0.0024,LOW,30.0,7.2
27.75000000000002,82.84999999999984,0.026,LOW,27.1,3.9
27.75000000000002,83.5499999999998,0.011,LOW,25.4,8.9
27.75000000000002,87.34999999999958,0.0402,LOW,11.6,21.6
27.800000000000026,82.29999999999987,0.0167,LOW,27.2,3.3
27.800000000000026,85.2999999999997,0.0902,LOW,19.7,10.8
27.800000000000026,85.99999999999966,0.0245,LOW,19.6,9.2
27.800000000000026,87.44999999999958,0.0001,LOW,9.2,21.6
27.850000000000023,84.04999999999977,0.005,LOW,27.1,12.8
27.850000000000023,86.74999999999962,0.0002,LOW,3.2,13.3
27.900000000000023,83.3999999999998,0.0561,LOW,26.3,8.2
27.900000000000023,84.14999999999976,0.024,LOW,26.6,12.1
27.900000000000023,84.94999999999972,0.0548,LOW,23.6,17.3
27.900000000000023,85.74999999999967,0.0001,LOW,22.7,12.4
27.900000000000023,87.19999999999959,0.096,LOW,-8.0,0.0
27.950000000000024,81.89999999999989,0.0319,LOW,29.6,6.0
27.950000000000024,82.59999999999985,0.0604,LOW,29.0,5.1
27.950000000000024,83.3999999999998,0.0397,LOW,24.0,9.5
27.950000000000024,84.24999999999976,0.0966,LOW,26.7,14.3
27.950000000000024,85.2999999999997,0.7405,VERY HIGH,27.1,5.7
27.950000000000024,85.99999999999966,0.0412,LOW,14.5,13.4
28.000000000000025,81.34999999999992,0.0014,LOW,29.3,0.9
28.000000000000025,82.49999999999986,0.0,LOW,28.1,3.9
28.000000000000025,83.19999999999982,0.0515,LOW,21.9,19.5
28.000000000000025,83.89999999999978,0.0342,LOW,24.8,16.1
28.000000000000025,86.39999999999964,0.0014,LOW,-1.3,2.4
28.050000000000026,83.4499999999998,0.0008,LOW,21.7,17.2
28.050000000000026,84.19999999999976,0.0181,LOW,24.8,14.3
28.050000000000026,84.99999999999972,0.0001,LOW,25.9,17.3
28.100000000000023,83.3999999999998,0.0404,LOW,21.0,20.2
28.100000000000023,84.14999999999976,0.2832,LOW,22.3,12.8
28.150000000000027,81.7999999999999,0.0078,LOW,29.1,4.2
28.150000000000027,82.59999999999985,0.1743,LOW,20.8,6.6
28.150000000000027,83.4999999999998,0.134,LOW,20.3,30.1
28.150000000000027,84.29999999999976,0.0447,LOW,22.3,14.3
28.150000000000027,85.09999999999971,0.0539,LOW,20.2,20.2
28.200000000000028,81.19999999999993,0.0103,LOW,29.1,2.1
28.200000000000028,82.29999999999987,0.0369,LOW,26.7,3.9
28.200000000000028,83.04999999999983,0.0106,LOW,18.3,6.4
28.200000000000028,83.74999999999979,0.079,LOW,21.7,18.6
28.200000000000028,84.54999999999974,0.1591,LOW,18.6,10.0
28.200000000000028,85.2999999999997,0.0003,LOW,11.7,19.9
28.200000000000028,87.89999999999955,0.0018,LOW,3.4,0.0
28.25000000000003,82.09999999999988,0.0193,LOW,28.3,1.8
28.25000000000003,82.84999999999984,0.0312,LOW,17.5,7.3
28.25000000000003,83.5499999999998,0.6042,HIGH,16.9,22.6
28.25000000000003,85.09999999999971,0.1016,LOW,13.8,22.4
28.30000000000003,81.6999999999999,0.028,LOW,29.8,4.2
28.30000000000003,83.84999999999978,0.1046,LOW,16.8,22.5
28.35000000000003,81.09999999999994,0.0129,LOW,28.7,3.6
28.35000000000003,81.8499999999999,0.096,LOW,29.4,1.5
28.35000000000003,82.54999999999986,0.0624,LOW,20.1,11.1
28.35000000000003,83.29999999999981,0.0005,LOW,11.5,11.0
28.35000000000003,84.94999999999972,0.0097,LOW,4.0,21.7
28.40000000000003,82.89999999999984,0.0388,LOW,16.8,9.8
28.40000000000003,83.5999999999998,0.0156,LOW,19.3,32.1
28.45000000000003,81.29999999999993,0.0131,LOW,29.1,0.9
28.45000000000003,83.4999999999998,0.0004,LOW,19.3,8.9
28.45000000000003,84.29999999999976,0.008,LOW,0.2,6.5
28.45000000000003,85.2499999999997,0.0117,LOW,8.3,0.0
28.45000000000003,88.04999999999954,0.0018,LOW,1.5,0.0
28.500000000000032,81.59999999999991,0.0282,LOW,29.9,1.8
28.500000000000032,82.34999999999987,0.0317,LOW,24.8,5.4
28.500000000000032,83.04999999999983,0.0095,LOW,11.3,17.8
28.500000000000032,83.89999999999978,0.0036,LOW,16.4,20.4
28.500000000000032,86.74999999999962,0.0018,LOW,2.0,0.0
28.55000000000004,81.24999999999993,0.0005,LOW,29.1,0.9
28.55000000000004,81.99999999999989,0.0,LOW,30.0,3.3
28.55000000000004,82.74999999999984,0.0097,LOW,20.2,8.4
28.55000000000004,83.4499999999998,0.0177,LOW,3.1,14.2
28.55000000000004,84.84999999999972,0.0002,LOW,-3.4,1.5
28.55000000000004,86.64999999999962,0.0004,LOW,2.5,0.0
28.60000000000004,82.34999999999987,0.0369,LOW,21.1,2.8
28.60000000000004,83.04999999999983,0.0006,LOW,11.0,9.9
28.65000000000004,80.94999999999995,0.023,LOW,28.5,1.8
28.65000000000004,83.5999999999998,0.0099,LOW,13.4,22.8
28.65000000000004,86.54999999999963,0.0007,LOW,1.9,0.0
28.700000000000035,80.84999999999995,0.0032,LOW,29.2,0.3
28.700000000000035,82.34999999999987,0.0527,LOW,17.9,6.2
28.75000000000004,80.94999999999995,0.0029,LOW,29.0,0.3
28.75000000000004,81.6999999999999,0.0296,LOW,26.2,3.9
28.75000000000004,82.44999999999986,0.0193,LOW,15.9,10.2
28.75000000000004,84.24999999999976,0.0004,LOW,-0.9,9.0
28.75000000000004,86.29999999999964,0.0014,LOW,0.5,0.0
28.75000000000004,87.24999999999959,0.0013,LOW,2.8,0.3
28.80000000000004,80.39999999999998,0.0028,LOW,28.8,0.0
28.80000000000004,81.24999999999993,0.0132,LOW,30.7,4.8
28.80000000000004,81.99999999999989,0.0043,LOW,22.2,3.4
28.80000000000004,82.74999999999984,0.0012,LOW,4.3,36.2
28.80000000000004,86.74999999999962,0.0006,LOW,-0.7,1.3
28.85000000000004,80.14999999999999,0.0077,LOW,28.5,0.9
28.85000000000004,80.99999999999994,0.3562,MEDIUM,27.1,3.9
28.85000000000004,81.7999999999999,0.1203,LOW,25.3,5.8
28.85000000000004,82.49999999999986,0.0043,LOW,19.7,10.2
28.90000000000004,81.04999999999994,0.0556,LOW,27.3,3.9
28.90000000000004,83.89999999999978,0.0004,LOW,3.4,0.9
28.90000000000004,87.59999999999957,0.0049,LOW,1.4,4.6
28.95000000000004,82.69999999999985,0.2171,LOW,8.9,7.4
28.95000000000004,86.19999999999965,0.0015,LOW,-1.4,11.4
28.95000000000004,88.09999999999954,0.0017,LOW,4.0,3.4
29.00000000000004,80.74999999999996,0.3266,MEDIUM,28.4,0.6
29.00000000000004,81.44999999999992,0.0001,LOW,27.1,8.1
29.00000000000004,82.19999999999987,0.0238,LOW,14.7,12.0
29.00000000000004,82.94999999999983,0.0019,LOW,9.9,4.5
29.00000000000004,86.74999999999962,0.0036,LOW,-0.1,1.8
29.00000000000004,87.94999999999955,0.0002,LOW,7.2,0.9
29.05000000000004,80.44999999999997,0.095,LOW,28.5,2.1
29.05000000000004,81.14999999999993,0.042,LOW,23.9,14.1
29.05000000000004,81.94999999999989,0.0023,LOW,9.5,13.1
29.05000000000004,82.74999999999984,0.0001,LOW,14.0,7.4
29.05000000000004,85.2499999999997,0.0076,LOW,3.0,1.2
29.05000000000004,87.39999999999958,0.0014,LOW,1.9,2.7
29.10000000000004,80.84999999999995,0.0749,LOW,18.2,15.2
29.10000000000004,85.64999999999968,0.0075,LOW,3.2,2.4
29.10000000000004,86.64999999999962,0.0017,LOW,2.3,1.2
29.15000000000004,81.6999999999999,0.0001,LOW,14.7,13.4
29.15000000000004,84.89999999999972,0.0011,LOW,2.9,2.1
29.15000000000004,85.99999999999966,0.0037,LOW,3.5,3.4
29.15000000000004,87.0499999999996,0.0011,LOW,5.6,0.9
29.20000000000004,81.99999999999989,0.0021,LOW,11.0,8.0
29.20000000000004,86.64999999999962,0.0008,LOW,5.3,3.2
29.20000000000004,87.69999999999956,0.0009,LOW,4.7,1.6
29.250000000000043,80.29999999999998,0.1675,LOW,30.3,2.7
29.250000000000043,81.09999999999994,0.0223,LOW,19.4,17.5
29.250000000000043,81.7999999999999,0.0017,LOW,11.8,11.2
29.250000000000043,82.64999999999985,0.001,LOW,7.3,3.9
29.250000000000043,84.94999999999972,0.0015,LOW,3.4,5.5
29.250000000000043,85.99999999999966,0.0003,LOW,0.2,1.8
29.250000000000043,87.19999999999959,0.0007,LOW,3.6,2.3
29.250000000000043,88.09999999999954,0.0014,LOW,4.0,2.8
29.300000000000043,80.64999999999996,0.0003,LOW,20.4,12.0
29.300000000000043,81.44999999999992,0.0162,LOW,18.6,13.7
29.300000000000043,82.19999999999987,0.0052,LOW,13.2,5.4
29.300000000000043,84.44999999999975,0.0015,LOW,3.1,2.1
29.300000000000043,87.39999999999958,0.0076,LOW,3.9,4.8
29.350000000000044,80.0,0.1354,LOW,18.5,3.0
29.350000000000044,84.44999999999975,0.0006,LOW,1.2,2.1
29.350000000000044,85.54999999999968,0.0034,LOW,-0.8,19.6
29.350000000000044,86.69999999999962,0.0014,LOW,-0.8,4.0
29.350000000000044,87.44999999999958,0.0003,LOW,7.0,3.3
29.400000000000045,80.34999999999998,0.0104,LOW,19.8,5.6
29.400000000000045,86.19999999999965,0.0026,LOW,1.2,3.2
29.400000000000045,86.9999999999996,0.0009,LOW,1.5,1.5
29.400000000000045,87.89999999999955,0.0009,LOW,6.3,0.8
29.450000000000045,81.8499999999999,0.0315,LOW,13.2,3.8
29.450000000000045,85.79999999999967,0.0007,LOW,1.1,6.3
29.450000000000045,86.64999999999962,0.0032,LOW,1.9,1.2
29.450000000000045,87.59999999999957,0.0038,LOW,1.2,12.0
29.50000000000005,80.14999999999999,0.0005,LOW,25.2,4.2
29.50000000000005,80.89999999999995,0.0075,LOW,24.6,5.0
29.50000000000005,81.6499999999999,0.0001,LOW,21.8,16.0
29.50000000000005,82.69999999999985,0.0001,LOW,3.6,0.0
29.50000000000005,84.49999999999974,0.0009,LOW,3.4,1.7
29.50000000000005,86.04999999999966,0.002,LOW,0.1,5.9
