latitude,longitude,probability,risk_level,temp_C,rain_7d_mm
26.35,88.04999999999954,0.676,HIGH,24.8,14.6
26.500000000000004,86.74999999999962,0.0001,LOW,24.7,11.3
26.550000000000004,85.54999999999968,0.0087,LOW,25.4,4.9
26.600000000000005,84.44999999999975,0.0028,LOW,26.5,4.8
26.600000000000005,87.19999999999959,0.0494,LOW,24.8,4.5
26.65000000000001,86.64999999999962,0.0001,LOW,24.3,4.9
26.700000000000006,84.39999999999975,0.0319,LOW,26.2,7.9
26.800000000000008,87.99999999999955,0.0149,LOW,24.9,3.4
26.85000000000001,84.79999999999973,0.0593,LOW,25.6,6.0
26.85000000000001,86.79999999999961,0.0181,LOW,22.4,4.8
26.85000000000001,87.59999999999957,0.0791,LOW,15.9,7.7
26.90000000000001,83.4499999999998,0.0087,LOW,26.1,15.2
26.90000000000001,86.44999999999963,0.146,LOW,22.1,5.9
26.90000000000001,87.19999999999959,0.0055,LOW,22.0,7.4
27.00000000000001,86.59999999999962,0.002,LOW,14.1,12.7
27.00000000000001,87.44999999999958,0.0084,LOW,20.0,7.9
27.00000000000001,88.14999999999954,0.1017,LOW,13.0,11.4
27.05000000000001,85.3999999999997,0.9198,VERY HIGH,24.4,6.7
27.05000000000001,86.39999999999964,0.0165,LOW,23.4,5.7
27.05000000000001,87.0999999999996,0.1056,LOW,21.9,11.5
27.05000000000001,87.84999999999955,0.1507,LOW,12.4,7.7
27.10000000000001,84.54999999999974,0.0018,LOW,25.5,9.5
27.150000000000013,86.9499999999996,0.0362,LOW,13.9,10.7
27.150000000000013,87.79999999999956,0.0514,LOW,18.2,11.4
27.200000000000014,83.29999999999981,0.7212,VERY HIGH,25.7,12.2
27.200000000000014,85.44999999999969,0.005,LOW,22.7,11.1
27.200000000000014,86.29999999999964,0.0612,LOW,18.6,8.4
27.200000000000014,87.0499999999996,0.0742,LOW,11.8,12.6
27.200000000000014,87.79999999999956,0.0002,LOW,19.1,10.2
27.25000000000001,88.19999999999953,0.5448,HIGH,7.3,5.7
27.30000000000001,84.44999999999975,0.0,LOW,25.1,11.3
27.30000000000001,86.89999999999961,0.6554,HIGH,18.2,6.0
27.30000000000001,87.64999999999957,0.0661,LOW,12.9,12.3
27.350000000000016,85.14999999999971,0.0885,LOW,22.4,21.1
27.350000000000016,85.94999999999966,0.0532,LOW,21.8,12.8
27.350000000000016,86.64999999999962,0.0434,LOW,16.6,17.0
27.350000000000016,87.34999999999958,0.0014,LOW,18.2,8.5
27.350000000000016,88.04999999999954,0.0115,LOW,10.6,7.6
27.400000000000016,84.19999999999976,0.0572,LOW,25.2,11.3
27.400000000000016,84.89999999999972,0.0079,LOW,22.6,24.0
27.400000000000016,87.94999999999955,0.7572,VERY HIGH,12.8,7.6
27.450000000000017,84.24999999999976,0.099,LOW,22.4,9.9
27.450000000000017,85.09999999999971,0.0184,LOW,20.7,15.6
27.450000000000017,85.94999999999966,0.0076,LOW,17.1,18.7
27.450000000000017,86.64999999999962,0.0752,LOW,4.2,32.6
27.500000000000018,84.49999999999974,0.1091,LOW,23.0,14.0
27.500000000000018,85.2499999999997,0.0062,LOW,23.1,15.0
27.500000000000018,85.99999999999966,0.1034,LOW,18.9,18.7
27.55000000000002,84.44999999999975,0.0058,LOW,24.8,14.0
27.55000000000002,85.1999999999997,0.42,MEDIUM,17.2,15.0
27.55000000000002,86.04999999999966,0.0356,LOW,17.6,18.7
27.60000000000002,82.69999999999985,0.0003,LOW,25.2,21.4
27.60000000000002,86.09999999999965,0.6171,HIGH,15.1,25.9
27.60000000000002,87.64999999999957,0.0878,LOW,7.7,38.0
27.65000000000002,82.59999999999985,0.0163,LOW,24.9,27.7
27.65000000000002,83.74999999999979,0.1993,LOW,20.2,13.8
27.65000000000002,84.74999999999973,0.0072,LOW,25.2,22.0
27.65000000000002,85.79999999999967,0.549,HIGH,14.8,13.4
27.65000000000002,86.49999999999963,0.0002,LOW,5.8,39.3
27.65000000000002,87.39999999999958,0.0003,LOW,2.9,49.3
27.70000000000002,85.09999999999971,0.0626,LOW,14.5,33.1
27.70000000000002,85.99999999999966,0.0739,LOW,13.9,25.9
27.70000000000002,87.0499999999996,0.0001,LOW,1.5,44.8
27.75000000000002,81.94999999999989,0.0025,LOW,24.7,16.6
27.75000000000002,85.04999999999971,0.0024,LOW,19.3,25.3
27.75000000000002,87.34999999999958,0.0305,LOW,7.0,49.3
27.800000000000026,83.84999999999978,0.0412,LOW,20.9,16.8
27.800000000000026,84.54999999999974,0.0076,LOW,23.9,11.8
27.800000000000026,85.2999999999997,0.1477,LOW,15.5,12.3
27.800000000000026,85.99999999999966,0.0676,LOW,15.4,16.8
27.800000000000026,87.44999999999958,0.0001,LOW,4.5,49.3
27.850000000000023,82.24999999999987,0.1404,LOW,22.6,16.7
27.850000000000023,83.34999999999981,0.0925,LOW,16.7,15.9
27.850000000000023,84.04999999999977,0.005,LOW,22.3,13.1
27.850000000000023,86.74999999999962,0.0006,LOW,-0.2,58.5
27.900000000000023,81.99999999999989,0.0076,LOW,24.0,8.5
27.900000000000023,84.14999999999976,0.0679,LOW,22.1,12.9
27.900000000000023,87.19999999999959,0.1836,LOW,-11.0,31.2
27.950000000000024,81.89999999999989,0.0521,LOW,24.2,9.4
27.950000000000024,82.59999999999985,0.1048,LOW,22.9,22.1
27.950000000000024,83.3999999999998,0.0608,LOW,19.5,17.4
