point_id,latitude,longitude,elevation,slope,aspect,is_south_facing,landcover,is_burnable
6,,,124.0,1.0618730490528578,209.1499345713246,1,10.0,1
21,,,120.0,0.6946983069964242,228.12430686364547,0,10.0,1
30,,,113.0,0.463735342881014,-0.0,0,10.0,1
32,,,108.0,1.0618730490657442,150.85006542742843,1,10.0,1
35,,,112.0,1.483963183538748,20.396306425888987,0,10.0,1
45,,,98.0,0.5172800395116319,270.0,0,10.0,1
49,,,93.0,1.483963183538748,159.60369357411102,1,30.0,1
56,,,89.0,2.0682775290690447,90.0,0,10.0,1
67,,,78.0,1.1336212451318384,114.14390753808787,0,10.0,1
83,,,73.0,1.1336212451318384,245.8560924619121,0,10.0,1
84,,,72.0,4.525641393594996,65.85609246081806,0,10.0,1
85,,,73.0,1.1336212450835588,114.14390753918194,0,10.0,1
86,,,71.0,0.6946983069964242,48.12430686364548,0,10.0,1
87,,,69.0,1.4839631835479652,20.396306426846493,0,10.0,1
96,,,66.0,1.6192596169445037,73.36239560728741,0,30.0,1
100,,,63.0,1.6192596168684952,73.36239560648329,0,10.0,1
102,,,63.0,1.0618730490657442,29.14993457257156,0,10.0,1
105,,,63.0,0.6946983069964242,48.12430686364548,0,10.0,1
106,,,62.0,0.463735342881014,180.0,1,10.0,1
108,,,59.0,0.6946983069964242,131.87569313635453,0,10.0,1
109,,,63.0,1.0618730490657442,330.85006542742843,0,10.0,1
117,,,62.0,2.965938112552853,200.3963064268465,1,10.0,1
118,,,59.0,0.6946983070161266,228.1243068651024,0,10.0,1
119,,,58.0,2.745635287931616,250.27250735550183,0,10.0,1
122,,,68.0,0.0,-0.0,0,10.0,1
124,,,59.0,2.0832784996540354,131.87569313489763,0,10.0,1
127,,,63.0,1.9250351567412365,164.41794319376413,1,10.0,1
129,,,58.0,1.6192596168684952,286.6376043935167,0,10.0,1
130,,,58.0,0.6946983069964242,228.12430686364547,0,30.0,1
132,,,62.0,1.0618730490657442,29.14993457257156,0,10.0,1
133,,,60.0,1.4839631835479652,159.6036935731535,1,10.0,1
137,,,67.0,1.7332275774801045,143.36378939242297,1,10.0,1
139,,,65.0,1.8543341688295631,180.0,1,10.0,1
142,,,66.0,0.0,-0.0,0,10.0,1
143,,,68.0,1.483963183538748,339.603693574111,0,10.0,1
144,,,64.0,0.463735342881014,-0.0,0,10.0,1
145,,,64.0,2.119539811885138,77.36757253988942,0,10.0,1
146,,,61.0,0.6946983070161266,311.87569313489763,0,10.0,1
148,,,60.0,1.0618730490657442,29.14993457257156,0,10.0,1
149,,,57.0,1.034475766691169,270.0,0,10.0,1
150,,,62.0,1.7332275774485493,143.36378939382658,1,10.0,1
153,,,62.0,0.463735342881014,180.0,1,10.0,1
155,,,60.0,1.1336212450835588,114.14390753918194,0,10.0,1
170,,,130.0,2.7802885155465065,-0.0,0,10.0,1
177,,,114.0,0.6948627941356076,131.86353410629417,0,30.0,1
178,,,125.0,1.0619806389001123,330.8396571672867,0,10.0,1
183,,,119.0,2.777409933211839,311.8635341048373,0,10.0,1
191,,,115.0,1.7334910322634085,143.352074297204,1,10.0,1
192,,,119.0,2.5858180314738437,270.0,0,30.0,1
195,,,118.0,1.0619806388872164,330.839657168534,0,10.0,1
203,,,109.0,1.3909630807829785,-0.0,0,10.0,1
208,,,104.0,2.26716078576387,245.8652222989274,0,30.0,1
213,,,94.0,2.7466726946929256,289.7197208452596,0,10.0,1
217,,,93.0,2.069160056583416,270.0,0,10.0,1
224,,,83.0,0.5175009412507389,270.0,0,10.0,1
248,,,74.0,1.7334910322634085,143.352074297204,1,10.0,1
257,,,68.0,0.9274099368670312,-0.0,0,10.0,1
263,,,68.0,2.12040092863597,282.6272078173522,0,10.0,1
264,,,68.0,1.0619806388872164,330.839657168534,0,10.0,1
267,,,64.0,1.8543341688414128,180.0,1,10.0,1
269,,,66.0,0.9274099368670312,-0.0,0,10.0,1
274,,,59.0,0.0,-0.0,0,10.0,1
275,,,59.0,1.0619806388872164,29.16034283146606,0,10.0,1
276,,,59.0,1.1340242894346662,65.86522230002114,0,10.0,1
284,,,61.0,3.4638142814160515,216.647925702796,1,10.0,1
285,,,62.0,1.733491032231831,216.64792570139224,1,10.0,1
288,,,64.0,4.015133947317543,202.70832723546624,1,10.0,1
289,,,66.0,1.0619806389001123,209.16034283271327,1,10.0,1
290,,,62.0,2.537588146269961,24.054957133525548,0,10.0,1
297,,,64.0,1.6198941334729051,73.36910562332072,0,10.0,1
301,,,69.0,1.619894133396862,73.3691056225169,0,10.0,1
314,,,64.0,1.733491032231831,323.35207429860776,0,10.0,1
315,,,70.0,1.733491032231831,36.64792570139224,0,10.0,1
325,,,61.0,0.5175009412242654,270.0,0,30.0,1
326,26.35,88.04999999999954,62.0,1.0349174621195794,270.0,0,10.0,1
327,26.35,88.09999999999954,67.0,1.925094444584856,164.41161209394963,1,10.0,1
329,26.35,88.19999999999953,71.0,3.869423490519319,306.75055210202265,0,10.0,1
331,,,133.0,1.0620897578656487,330.8291065900127,0,10.0,1
335,,,128.0,0.6950295963505088,48.14878782072885,0,30.0,1
336,,,126.0,1.8084659356859176,120.8431947464671,0,30.0,1
342,,,122.0,0.6950295963505088,311.8512121792712,0,30.0,1
343,,,124.0,0.5177249091713965,270.0,0,10.0,1
354,,,118.0,0.9274099368611016,-0.0,0,10.0,1
356,,,118.0,1.4841181929695808,159.58759802105075,1,10.0,1
359,,,114.0,1.7337582177267383,143.34020022933956,1,10.0,1
360,,,111.0,1.0620897578656487,330.8291065900127,0,10.0,1
361,,,113.0,2.3744659253326827,12.586868018118276,0,10.0,1
365,,,104.0,2.936283752378121,118.25481569068155,0,10.0,1
367,,,92.0,1.8543341688295631,180.0,1,10.0,1
369,,,101.0,1.5528366901906534,90.0,0,10.0,1
372,,,99.0,1.3898547051664536,48.14878782072885,0,30.0,1
376,,,96.0,1.3898547052058898,228.1487878221856,0,10.0,1
377,,,99.0,1.7337582177267383,143.34020022933956,1,10.0,1
379,,,93.0,1.134432957391664,245.87447223891763,0,10.0,1
381,,,95.0,2.0842711996620644,228.1487878207288,0,10.0,1
397,,,74.0,1.1344329574399918,114.12552775998893,0,30.0,1
413,,,77.0,0.6950295963702355,228.1487878221856,0,10.0,1
416,,,72.0,1.5528366901112505,90.0,0,10.0,1
420,,,72.0,1.0353652882641824,270.0,0,10.0,1
428,,,71.0,0.0,-0.0,0,10.0,1
430,,,63.0,1.390963080774087,180.0,1,30.0,1
432,,,68.0,1.4841181929695808,20.41240197894924,0,10.0,1
436,,,65.0,1.3898547051664536,131.85121217927116,0,10.0,1
438,,,65.0,0.6950295963505088,228.14878782072884,0,10.0,1
439,,,63.0,0.463735342881014,180.0,1,10.0,1
442,,,59.0,0.5177249091449115,90.0,0,10.0,1
445,,,59.0,1.0620897578656487,29.17089340998728,0,10.0,1
450,,,64.0,3.648782102072924,262.7081162667079,0,10.0,1
453,,,65.0,1.8084659356859176,239.1568052535329,0,10.0,1
455,,,64.0,0.9274099368611016,180.0,1,10.0,1
460,,,68.0,3.1058697005100093,221.7694241388096,1,10.0,1
465,,,67.0,1.4841181929603489,200.4124019779911,1,30.0,1
466,,,67.0,0.5177249091449115,270.0,0,30.0,1
476,,,68.0,1.0620897578785544,150.82910658876523,1,10.0,1
478,,,67.0,0.6950295963702355,311.85121217781443,0,10.0,1
486,,,74.0,1.0353652882641824,90.0,0,10.0,1
499,,,126.0,1.8090502643830444,120.83213690738512,0,10.0,1
503,,,113.0,3.614500782240589,59.16786309132488,0,30.0,1
504,,,117.0,0.6951987303874401,48.16127354404063,0,30.0,1
507,,,128.0,1.3901928239089514,131.83872645741607,0,10.0,1
509,,,122.0,0.0,-0.0,0,10.0,1
517,,,117.0,0.5179519639773565,90.0,0,30.0,1
521,,,122.0,1.0358192867302458,90.0,0,10.0,1
526,,,113.0,1.9252155675411504,195.60131312348364,1,10.0,1
528,,,113.0,1.3901928239484125,228.16127354404065,0,10.0,1
533,,,106.0,1.062200417563389,209.1815871923408,1,10.0,1
535,,,104.0,1.134847288063101,245.88384286743752,0,30.0,1
538,,,101.0,3.242751465064752,180.0,1,10.0,1
