point_id,latitude,longitude,ndvi_30to45,ndvi_60to90,ndvi_trend,ndvi_anomaly
0,,,0.6991,0.6821,-0.017000000000000015,0.39910000000000007
1,,,0.54895,0.7624500000000001,0.21350000000000002,0.24895000000000006
2,,,0.50525,0.64495,0.13970000000000005,0.20525
3,,,0.51895,0.6314000000000001,0.11245000000000005,0.21895000000000003
4,,,0.661,0.734,0.07299999999999995,0.36100000000000004
5,,,0.6920000000000001,0.6727500000000001,-0.01924999999999999,0.39200000000000007
6,,,0.60255,0.788,0.18545,0.30255000000000004
7,,,0.6284000000000001,0.6864,0.05799999999999994,0.3284000000000001
8,,,0.5694,0.7292000000000001,0.15980000000000005,0.26940000000000003
9,,,0.54415,0.6695,0.12534999999999996,0.24415000000000003
10,,,0.5750000000000001,0.65735,0.08234999999999992,0.2750000000000001
11,,,0.4217,0.36395,-0.057750000000000024,0.12170000000000003
12,,,0.6758500000000001,0.6928000000000001,0.01695000000000002,0.3758500000000001
13,,,0.6323000000000001,0.77285,0.14054999999999995,0.3323000000000001
14,,,0.59375,0.7299,0.13615,0.29375
15,,,0.62365,0.7001000000000001,0.07645000000000002,0.32365000000000005
16,,,0.5693,0.64875,0.07945000000000002,0.26930000000000004
17,,,0.6426000000000001,0.7143,0.07169999999999999,0.34260000000000007
18,,,0.5720000000000001,0.7210500000000001,0.14905000000000002,0.2720000000000001
19,,,0.6734,0.7573500000000001,0.08395000000000008,0.3734
20,,,0.5219,0.5153,-0.00660000000000005,0.22190000000000004
21,,,0.72645,0.74305,0.016599999999999948,0.42645000000000005
22,,,0.64175,0.7110500000000001,0.06930000000000003,0.34175000000000005
23,,,0.6322,0.6995,0.06730000000000003,0.3322
24,,,0.6686000000000001,0.58565,-0.08295000000000008,0.3686000000000001
25,,,0.65415,0.5674,-0.08675,0.35415
26,,,0.6214500000000001,0.6582,0.03674999999999995,0.32145000000000007
27,,,0.5952500000000001,0.5747,-0.020550000000000068,0.29525000000000007
28,,,0.72285,0.6526500000000001,-0.07019999999999993,0.42285
29,,,0.7347,0.6934,-0.0413,0.43470000000000003
30,,,0.6940500000000001,0.61715,-0.07690000000000008,0.39405000000000007
31,,,0.7319,0.65135,-0.08055000000000001,0.4319
32,,,0.7354,0.6163000000000001,-0.11909999999999998,0.43540000000000006
33,,,0.64325,0.5487000000000001,-0.09454999999999991,0.34325
34,,,0.7082,0.6829500000000001,-0.025249999999999995,0.40820000000000006
35,,,0.662,0.55745,-0.10455000000000003,0.36200000000000004
36,,,0.56855,0.4005,-0.16804999999999998,0.26855
37,,,0.69975,0.51805,-0.18169999999999997,0.39975
38,,,0.58115,0.6016,0.020449999999999968,0.28115000000000007
39,,,0.5579000000000001,0.60505,0.047149999999999914,0.2579000000000001
40,,,0.5344,0.6159,0.08150000000000002,0.2344
41,,,0.6243000000000001,0.6135,-0.010800000000000032,0.3243000000000001
42,,,0.40390000000000004,0.47045000000000003,0.06655,0.10390000000000005
43,,,0.5397500000000001,0.5538500000000001,0.014100000000000001,0.23975000000000007
44,,,0.6089,0.5343,-0.0746,0.3089
45,,,0.5738,0.55735,-0.016449999999999965,0.2738
46,,,0.5650000000000001,0.5359,-0.029100000000000015,0.26500000000000007
47,,,0.6081,0.58145,-0.02664999999999995,0.3081
48,,,0.643,0.61255,-0.030449999999999977,0.343
49,,,0.4087,0.5602,0.15150000000000002,0.10870000000000002
50,,,0.56915,0.64315,0.07399999999999995,0.26915000000000006
51,,,0.58065,0.6121,0.03144999999999998,0.28065
52,,,0.5898,0.6218,0.03200000000000003,0.2898
53,,,0.60765,0.6258,0.01815,0.30765000000000003
54,,,0.5764,0.55715,-0.01924999999999999,0.27640000000000003
55,,,0.532,0.5777,0.04569999999999996,0.23200000000000004
56,,,0.5942000000000001,0.56765,-0.026550000000000074,0.2942000000000001
57,,,0.556,0.55055,-0.005450000000000066,0.25600000000000006
58,,,0.6162500000000001,0.55345,-0.06280000000000008,0.3162500000000001
59,,,0.5762,0.5596,-0.01660000000000006,0.27620000000000006
60,,,0.6294000000000001,0.5618500000000001,-0.06755,0.3294000000000001
61,,,0.6625500000000001,0.5899,-0.0726500000000001,0.3625500000000001
62,,,0.63095,0.57325,-0.057699999999999974,0.33095
63,,,0.60785,0.48425,-0.12359999999999999,0.30785
64,,,0.6075,0.5578000000000001,-0.049699999999999966,0.30750000000000005
65,,,0.60395,0.49860000000000004,-0.10534999999999994,0.30395
66,,,0.6021000000000001,0.60975,0.007649999999999935,0.3021000000000001
67,,,0.61985,0.67995,0.06010000000000004,0.31985
68,,,0.48660000000000003,0.5251,0.03849999999999998,0.18660000000000004
69,,,0.5937,0.6534,0.059699999999999975,0.2937
70,,,0.544,0.5466,0.0025999999999999357,0.24400000000000005
71,,,0.62865,0.5284,-0.10025000000000006,0.32865000000000005
72,,,0.72835,0.7887500000000001,0.06040000000000001,0.42835000000000006
73,,,0.5695,0.4652,-0.1043,0.2695
74,,,0.5685,0.6877,0.11919999999999997,0.2685
75,,,0.5556,0.69265,0.13705,0.2556
76,,,0.6035,0.70775,0.10424999999999995,0.30350000000000005
77,,,0.5636,0.6101,0.046499999999999986,0.2636
78,,,0.5059,0.6295000000000001,0.12360000000000004,0.20590000000000003
79,,,0.5073500000000001,0.6364000000000001,0.12905,0.2073500000000001
80,,,0.5768,0.7475,0.17070000000000007,0.2768
81,,,0.5930500000000001,0.68425,0.09119999999999995,0.2930500000000001
82,,,0.5666,0.59035,0.02375000000000005,0.2666
83,,,0.5761000000000001,0.54055,-0.03555000000000008,0.27610000000000007
84,,,0.5462,0.48585,-0.060350000000000015,0.24620000000000003
85,,,0.52905,0.46765,-0.06140000000000001,0.22905000000000003
86,,,0.5618000000000001,0.61175,0.04994999999999994,0.2618000000000001
87,,,0.54655,0.6027,0.05615000000000003,0.24655
88,,,0.5702,0.5429,-0.02729999999999999,0.27020000000000005
89,,,0.48765000000000003,0.39575000000000005,-0.09189999999999998,0.18765000000000004
90,,,0.61805,0.6487,0.030650000000000066,0.31805
91,,,0.52885,0.45635000000000003,-0.07250000000000001,0.22885000000000005
92,,,0.56145,0.6362,0.07474999999999998,0.26145
93,,,0.511,0.41885,-0.09215000000000001,0.21100000000000002
94,,,0.51665,0.48460000000000003,-0.03205000000000002,0.21665000000000006
95,,,0.42335,0.5273,0.10394999999999999,0.12335000000000002
96,,,0.43435,0.3539,-0.08045000000000002,0.13435000000000002
97,,,0.4096,0.38745,-0.022150000000000003,0.10960000000000003
98,,,0.5586,0.5381,-0.020499999999999963,0.2586
99,,,0.47235000000000005,0.64,0.16764999999999997,0.17235000000000006
100,,,0.43145,0.47490000000000004,0.043450000000000044,0.13145
101,,,0.48845000000000005,0.5992000000000001,0.11075000000000002,0.18845000000000006
102,,,0.5315500000000001,0.7646000000000001,0.23304999999999998,0.2315500000000001
103,,,0.535,0.52335,-0.01165000000000005,0.23500000000000004
104,,,0.5676,0.4262,-0.14139999999999997,0.2676
105,,,0.5022,0.38535,-0.11684999999999995,0.2022
106,,,0.4898,0.71635,0.22655000000000003,0.18980000000000002
107,,,0.42225,0.625,0.20274999999999999,0.12225000000000003
108,,,0.6203000000000001,0.7235,0.10319999999999996,0.3203000000000001
109,,,0.6304500000000001,0.6475000000000001,0.01705000000000001,0.3304500000000001
